,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
303,parvezdookhy,Constitutional lawyer - Constitutionnaliste,"Paris, France",4871,437,2022,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
304,HorainAlan,Étudiant en licence d’Histoire 🇫🇷,"Nord-Pas-de-Calais, France",1061,614,779,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
305,Rouqui2,"« Les faits sont sacrés, les commentaires sont libres.» Beaumarchais / « Deviens ce que tu es » Nietzsche / LICRA / Histoire/ / Vivre … »",France,7491,12248,346539,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
306,mum89000,,,373,459,9304,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
307,perdrix_renaud,Cumulard d’expériences et avide de savoirs,,331,153,7344,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
308,blacknoose,"L'AVENIR N'EST PAS CE QUI VA ARRIVER MAIS CE QUE NOUS ALLONS FAIRE 
Henri Bergson

LIBERTÉ  ÉGALITÉ  FRATERNITÉ... Laïcité
(RT… ne veux pas dire adhésion)",quelque part entre ciel/terre,4997,3549,410088,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
309,R1phaelb,,,210,157,406,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
310,gondioc451,"H.  Retraité. 🔻   ✊  🐢  Aime les gens, les animaux, gastronomie, politique, musique, rugby, etc..  *  El pueblo unido jamas sera vencido ! *",Mâcon (71),24,872,173319,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
311,laurans_yann,"Contre Macron et Lepen , on y croit",,385,72,1645,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
312,HouplainPh,"🇫🇷 Candidat RECONQUÊTE!|. Législatives Paris 15ème circo (Paris 20ème) Fier de l'être, pour mes enfants (x4) et pour vous. https://t.co/Xdq9XAZ7Pa","Paris 12e, France",8454,10387,32395,7,"SUITE (4) : 

#circo7515 : @HouplainPh
#circo7516 : @Armntmargot 
#circo7517 : @marieflcn
#circo7518 : @Axelle2Kerangal

#ZemmourVar #legislatives2022 #Reconquete https://t.co/Rg9X8iSFnN","['circo7515', 'circo7516', 'circo7517', 'circo7518']"
313,Diplo95,"Contrôleur aérien, TSEEAC puis ICNA, USACcgt, mes tweets n'engagent que moi.",devant mon téléphone ! ,438,143,3903,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
314,BrigitteBoisse2,"Insoumis(e) et fièr(e): lèves le point pour qu'ils reculent!

#feminisme #antiracisme #écologie #JusticeSociale
#RIC #démocratie #6èmerépublique",Toulouse,4998,2103,4953,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
315,ali_hocini,"📚 Etudiant en Histoire à l'université Paris 1 Panthéon Sorbonne
💼 Assistant d'Éducation
✊ Militant insoumis dans la 11ème circonscription de Seine Saint Denis",Tremblay-Sevran-Villepinte 93,258,231,1158,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
316,jursticdotfr,"Avocat.

Du droit, de la gauche, et du lol. 

Gauche décomplexée.

Ligne éditoriale satirique et présentant un caractère polémique.

De omnibus dubitandum.",Dans ton flux,2987,1540,61531,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
317,Axelle2Kerangal,Référente 18e & candidate aux législatives pour #Reconquête dans la 18e circonscription de Paris #Circo7518 #legislatives2022🇫🇷 https://t.co/UTxomnl62P,"Paris, France",1031,1422,543,7,"SUITE (4) : 

#circo7515 : @HouplainPh
#circo7516 : @Armntmargot 
#circo7517 : @marieflcn
#circo7518 : @Axelle2Kerangal

#ZemmourVar #legislatives2022 #Reconquete https://t.co/Rg9X8iSFnN","['circo7515', 'circo7516', 'circo7517', 'circo7518']"
318,AnneSophieDesir,Directrice sur radiocourtoisie du Libre J. de la liberté de Penser-#BoulevardVoltaire.Candidate Reconquete! législatives 2022 10 Eme circonscription de Paris,Gauloise 100%,1216,1643,40639,4,"SUITE (3) : 

#circo7510 : @AnneSophieDesir 
#circo7511 : @FranckLC 
#circo7512 : @BenoitDCL2022 
#circo7513 : @OrnellaVglt
#circo7514 : @spilard 

#ZemmourVar #legislatives2022 #Reconquete https://t.co/hF6TQIVvOr","['circo7510', 'circo7511', 'circo7512', 'circo7513']"
319,GenerationZIDF,"🇫🇷 Section Ile-de-France 🏛 Génération Z est le mouvement jeune de RECONQUÊTE!, le parti d'Éric Zemmour @GenerationZ_off",,124,4456,4820,7,"SUITE (4) : 

#circo7515 : @HouplainPh
#circo7516 : @Armntmargot 
#circo7517 : @marieflcn
#circo7518 : @Axelle2Kerangal

#ZemmourVar #legislatives2022 #Reconquete https://t.co/Rg9X8iSFnN","['circo7515', 'circo7516', 'circo7517', 'circo7518', 'ZemmourVar', 'legislatives2022', 'Reconquete']"
320,GenerationZIDF,"🇫🇷 Section Ile-de-France 🏛 Génération Z est le mouvement jeune de RECONQUÊTE!, le parti d'Éric Zemmour @GenerationZ_off",,124,4456,4820,4,"SUITE (3) : 

#circo7510 : @AnneSophieDesir 
#circo7511 : @FranckLC 
#circo7512 : @BenoitDCL2022 
#circo7513 : @OrnellaVglt
#circo7514 : @spilard 

#ZemmourVar #legislatives2022 #Reconquete https://t.co/hF6TQIVvOr","['circo7510', 'circo7511', 'circo7512', 'circo7513', 'circo7514', 'ZemmourVar', 'legislatives2022', 'Reconquete']"
321,GenerationZIDF,"🇫🇷 Section Ile-de-France 🏛 Génération Z est le mouvement jeune de RECONQUÊTE!, le parti d'Éric Zemmour @GenerationZ_off",,124,4456,4820,2,"SUITE (2) : 

#Circo7505 : .
#circo7506 : @MeldenerVictor 
#circo7507 : @CoDeletang 
#circo7508 : @TrunkenwaldJ 
#circo7509 : @David_Meyer2022 

#ZemmourVar #legislatives2022 #Reconquete https://t.co/lSg7a4Aos4","['Circo7505', 'circo7506', 'circo7507', 'circo7508', 'circo7509', 'ZemmourVar', 'legislatives2022', 'Reconquete']"
322,maisonvaleria,"SOCIALE DEMOCRATE PR L'UNION DES GAUCHES.
TRAHIE PAR LREM.
CADRE SUP ET MANAGER DU SECTEUR PRIVE.
OUI NDDL. 
NO RN.
Vaccinée et alors ?",,4546,3327,565408,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
323,bilou78700,"Auto-entrepreneur en zbeul. Spécialiste d'arrière-garde en milieu gazeux, et en réception de grenades.",Conflans-sainte-Honorine,5000,4314,280058,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
324,grebert,"Je bouge à #vélo, c'est pratique et pas cher. Je partage ici mes réflexions sur la marche du monde. #mobilite #ville #climat #conso #democratie #lgbt #medias",Puteaux,965,13207,98609,0,"Outch 
#nupes #legislatives2022 https://t.co/NgdLsTMmdA https://t.co/tAxq6ypKxs","['nupes', 'legislatives2022']"
325,UnionPopAntibes,Biot Vallauris Le Rouret Opio Gourdon Courmes Caussols Chateauneuf-Grasse Roquefort-les-Pins Tourrettes-sur-Loup Bar-sur-Loup #Legislatives2022,"Antibes, France",85,636,99,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
326,PpTolo,,,1744,1144,45932,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
327,banshees999,"Quand le politique montre la burqa, l'imbécile regarde la mosquée
De Mélenchon GS à Ségo DA puis de Ségo DA à Mélenchon #LFI #UnionPopulaire #Insoumis #NoFuture",Marseille,2080,1265,72417,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
328,NUPES_EN,NUPES is a new political alliance of the French left. Here I will post speeches of its leaders with English subtitles.Non-official account. Managed by @FleuvesM,,15,14,18,0,"The #NUPES candidate for the position of deputy in the 9th district of Paris, the environmentalist @sandrousseau, is here defending a system of carbon quota in order to ""reinstate freedom in a system which will need to be a system of constraints"". @EELV #legislatives2022 https://t.co/6CXKvOB77S","['NUPES', 'legislatives2022']"
329,Bernard21740624,,,298,111,6833,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
330,thibhisette,Militant de gauche ✌🏻#6emeRépublique #NUPES #UnionPopulaire #Ecologique #Social,,3844,6077,9312,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
331,laxismenational,,"Languedoc-Roussillon, France",212,20,5920,2,Vive Marine ! #legislatives2022 #JeVoteRN,"['legislatives2022', 'JeVoteRN']"
332,DegryseMaxime,Je fais mon maximum pour rester neutre politiquement afin de ne pas froisser les gens de droite,"Matignon, France",637,397,38380,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
333,karine_redinger,another world is possible - ✊️😼🍺🎧,,4998,3937,329187,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
334,SebLombard,"Conseiller Municipal de Persan,
Conseiller communautaire du Haut Val d'Oise, gauche républicaine","Persan, France",4584,2157,7583,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
335,Bobomutu,L'intérêt général contre celui des individus. Le vivant plutôt que l'argent.,,108,192,47678,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
336,thomas_80800,"Militant à la @FranceInsoumise!👏
Victoire avec NUPES aux législatives! 💪 20/05/14 ❤","Somme, Picardie",1621,1034,2842,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
337,HumanistAtypik,Humaniste donc écosocialiste. Radical mais réformiste. Neuroatypique : #hpi #tdah #dysgraphique. Iconoclaste anticonformiste mais pas anti-tout ! ;-) #ric,Saint-Étienne,3373,406,12634,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
338,EricTaleux,,,698,109,9296,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
339,bounette6565,,Bouches-du-Rhône,241,319,71475,2,Vive Marine ! #legislatives2022 #JeVoteRN,"['legislatives2022', 'JeVoteRN']"
340,Souchie88,,France,103,22,2607,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
341,Leolecolo,"Oui, voir Nature&Progrès même! et puis local et de saison",Paris,1530,764,36363,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
342,Tensiometre,,,111,42,9111,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
343,karapatsiou_kat,,,3689,1197,13009,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
344,Kreuh_insoumise,Depuis 2012 φ #UnionPopulaire 🆕🆙🌻🔻#laec #Greenpeace #Bloom #legislatives2022 #Melenchon1erMinistre #MelenchonAMatignon #Nupes 🐢✌️ islamo gaucho woko humano,,1354,1193,5747,371,"📊 Sondage #legislatives2022  - Cluster17
📅 12/05/2022

1️⃣ #NUPES (#LFI, #PCF, #EELV &amp; #PS) : 31%
2️⃣ #LREM : 27%
3️⃣ #RN : 19%
4️⃣ #LR : 9,5%
5️⃣ #Reconquête : 5,5% https://t.co/OcTQuHzuKk","['legislatives2022', 'NUPES', 'LFI', 'PCF', 'EELV', 'PS', 'LREM', 'RN']"
